absolute_error_bytes,absolute_relative_error,allocator_environment,architecture,backend,compiler_accounted_bytes,compiler_alias_bytes,compiler_argument_bytes,compiler_output_bytes,compiler_temp_bytes,confidence,configuration,device,device_id,device_kind,dtype,equations,error_fraction_of_target,error_message,family,jax_device_memory_limit_bytes,jax_version,jaxlib_version,name,nested_constructs,os,physical_device_memory_bytes,platform,primitive_counts,python_version,signed_error_bytes,signed_relative_error,size_bucket,static_compiler_ratio,static_overpredicts,static_peak_bytes,static_shortfall_bytes,static_underpredicts,status,target_budget_bytes
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 1, ""shape"": [2048, 2048]}",TFRT_CPU_0,0,cpu,float32,5,,,elementwise,,0.6.2,0.6.2,elementwise-d1-2048-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""add"": 1, ""exp"": 1, ""mul"": 1, ""sin"": 1, ""tanh"": 1}",3.13.14,0,0.0,10-100 MiB,1.0,False,33554432,0,False,ok,
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,134217728,0,67108864,67108864,0,structural,"{""depth"": 1, ""shape"": [4096, 4096]}",TFRT_CPU_0,0,cpu,float32,5,,,elementwise,,0.6.2,0.6.2,elementwise-d1-4096-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""add"": 1, ""exp"": 1, ""mul"": 1, ""sin"": 1, ""tanh"": 1}",3.13.14,0,0.0,100-500 MiB,1.0,False,134217728,0,False,ok,
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 8, ""shape"": [2048, 2048]}",TFRT_CPU_0,0,cpu,float32,40,,,elementwise,,0.6.2,0.6.2,elementwise-d8-2048-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""add"": 8, ""exp"": 8, ""mul"": 8, ""sin"": 8, ""tanh"": 8}",3.13.14,0,0.0,10-100 MiB,1.0,False,33554432,0,False,ok,
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,134217728,0,67108864,67108864,0,structural,"{""depth"": 8, ""shape"": [4096, 4096]}",TFRT_CPU_0,0,cpu,float32,40,,,elementwise,,0.6.2,0.6.2,elementwise-d8-4096-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""add"": 8, ""exp"": 8, ""mul"": 8, ""sin"": 8, ""tanh"": 8}",3.13.14,0,0.0,100-500 MiB,1.0,False,134217728,0,False,ok,
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 16, ""shape"": [2048, 2048]}",TFRT_CPU_0,0,cpu,float32,80,,,elementwise,,0.6.2,0.6.2,elementwise-d16-2048-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""add"": 16, ""exp"": 16, ""mul"": 16, ""sin"": 16, ""tanh"": 16}",3.13.14,0,0.0,10-100 MiB,1.0,False,33554432,0,False,ok,
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,134217728,0,67108864,67108864,0,structural,"{""depth"": 16, ""shape"": [4096, 4096]}",TFRT_CPU_0,0,cpu,float32,80,,,elementwise,,0.6.2,0.6.2,elementwise-d16-4096-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""add"": 16, ""exp"": 16, ""mul"": 16, ""sin"": 16, ""tanh"": 16}",3.13.14,0,0.0,100-500 MiB,1.0,False,134217728,0,False,ok,
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,37748736,0,33554432,4194304,0,structural,"{""k"": 4096, ""m"": 1024, ""n"": 1024}",TFRT_CPU_0,0,cpu,float32,1,,,matmul,,0.6.2,0.6.2,matmul-1024x4096x1024-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""dot_general"": 1}",3.13.14,0,0.0,10-100 MiB,1.0,False,37748736,0,False,ok,
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,50331648,0,33554432,16777216,0,structural,"{""k"": 2048, ""m"": 2048, ""n"": 2048}",TFRT_CPU_0,0,cpu,float32,1,,,matmul,,0.6.2,0.6.2,matmul-2048x2048x2048-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""dot_general"": 1}",3.13.14,0,0.0,10-100 MiB,1.0,False,50331648,0,False,ok,
67108864,2.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 4, ""shape"": [2048, 2048]}",TFRT_CPU_0,0,cpu,float32,8,,,residual,,0.6.2,0.6.2,residual-d4-2048-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""add"": 4, ""tanh"": 4}",3.13.14,67108864,2.0,10-100 MiB,3.0,True,100663296,0,False,ok,
268435456,8.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': None, 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",AMD64,cpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 16, ""shape"": [2048, 2048]}",TFRT_CPU_0,0,cpu,float32,32,,,residual,,0.6.2,0.6.2,residual-d16-2048-float32,,Windows-11-10.0.26200-SP0,,cpu,"{""add"": 16, ""tanh"": 16}",3.13.14,268435456,8.0,100-500 MiB,9.0,True,301989888,0,False,ok,
