absolute_error_bytes,absolute_relative_error,allocator_environment,architecture,backend,compiler_accounted_bytes,compiler_alias_bytes,compiler_argument_bytes,compiler_output_bytes,compiler_temp_bytes,confidence,configuration,device,device_id,device_kind,dtype,equations,error_fraction_of_target,error_message,family,jax_device_memory_limit_bytes,jax_version,jaxlib_version,name,nested_constructs,os,physical_device_memory_bytes,platform,primitive_counts,python_version,signed_error_bytes,signed_relative_error,size_bucket,static_compiler_ratio,static_overpredicts,static_peak_bytes,static_shortfall_bytes,static_underpredicts,status,target_budget_bytes
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 1, ""shape"": [2048, 2048]}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,5,0.0,,elementwise,3221225472,0.11.0,0.11.0,elementwise-d1-2048-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""add"": 1, ""exp"": 1, ""mul"": 1, ""sin"": 1, ""tanh"": 1}",3.12.3,0,0.0,10-100 MiB,1.0,False,33554432,0,False,ok,3221225472
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,134217728,0,67108864,67108864,0,structural,"{""depth"": 1, ""shape"": [4096, 4096]}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,5,0.0,,elementwise,3221225472,0.11.0,0.11.0,elementwise-d1-4096-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""add"": 1, ""exp"": 1, ""mul"": 1, ""sin"": 1, ""tanh"": 1}",3.12.3,0,0.0,100-500 MiB,1.0,False,134217728,0,False,ok,3221225472
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 8, ""shape"": [2048, 2048]}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,40,0.0,,elementwise,3221225472,0.11.0,0.11.0,elementwise-d8-2048-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""add"": 8, ""exp"": 8, ""mul"": 8, ""sin"": 8, ""tanh"": 8}",3.12.3,0,0.0,10-100 MiB,1.0,False,33554432,0,False,ok,3221225472
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,134217728,0,67108864,67108864,0,structural,"{""depth"": 8, ""shape"": [4096, 4096]}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,40,0.0,,elementwise,3221225472,0.11.0,0.11.0,elementwise-d8-4096-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""add"": 8, ""exp"": 8, ""mul"": 8, ""sin"": 8, ""tanh"": 8}",3.12.3,0,0.0,100-500 MiB,1.0,False,134217728,0,False,ok,3221225472
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 16, ""shape"": [2048, 2048]}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,80,0.0,,elementwise,3221225472,0.11.0,0.11.0,elementwise-d16-2048-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""add"": 16, ""exp"": 16, ""mul"": 16, ""sin"": 16, ""tanh"": 16}",3.12.3,0,0.0,10-100 MiB,1.0,False,33554432,0,False,ok,3221225472
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,134217728,0,67108864,67108864,0,structural,"{""depth"": 16, ""shape"": [4096, 4096]}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,80,0.0,,elementwise,3221225472,0.11.0,0.11.0,elementwise-d16-4096-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""add"": 16, ""exp"": 16, ""mul"": 16, ""sin"": 16, ""tanh"": 16}",3.12.3,0,0.0,100-500 MiB,1.0,False,134217728,0,False,ok,3221225472
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,37748736,0,33554432,4194304,0,structural,"{""k"": 4096, ""m"": 1024, ""n"": 1024}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,1,0.0,,matmul,3221225472,0.11.0,0.11.0,matmul-1024x4096x1024-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""dot_general"": 1}",3.12.3,0,0.0,10-100 MiB,1.0,False,37748736,0,False,ok,3221225472
0,0.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,50331648,0,33554432,16777216,0,structural,"{""k"": 2048, ""m"": 2048, ""n"": 2048}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,1,0.0,,matmul,3221225472,0.11.0,0.11.0,matmul-2048x2048x2048-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""dot_general"": 1}",3.12.3,0,0.0,10-100 MiB,1.0,False,50331648,0,False,ok,3221225472
67108864,2.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 4, ""shape"": [2048, 2048]}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,8,0.020833333333333332,,residual,3221225472,0.11.0,0.11.0,residual-d4-2048-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""add"": 4, ""tanh"": 4}",3.12.3,67108864,2.0,10-100 MiB,3.0,True,100663296,0,False,ok,3221225472
268435456,8.0,"{'XLA_PYTHON_CLIENT_PREALLOCATE': 'false', 'XLA_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_MEM_FRACTION': None, 'XLA_PYTHON_CLIENT_ALLOCATOR': None, 'TF_GPU_ALLOCATOR': None}",x86_64,gpu,33554432,0,16777216,16777216,0,structural,"{""depth"": 16, ""shape"": [2048, 2048]}",cuda:0,0,NVIDIA GeForce RTX 3050 Laptop GPU,float32,32,0.08333333333333333,,residual,3221225472,0.11.0,0.11.0,residual-d16-2048-float32,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,4294967296,gpu,"{""add"": 16, ""tanh"": 16}",3.12.3,268435456,8.0,100-500 MiB,9.0,True,301989888,0,False,ok,3221225472
