actual_safe,backend,central_bytes,compiler_accounted_bytes,false_fit,false_oom,family,interval_covered,interval_width_bytes,interval_width_ratio,lower_bytes,method,method_description,name,predicted_safe,protocol,size_bucket,static_peak_bytes,target_budget_bytes,upper_bytes,upper_covered
,cpu,33554432,33554432,False,False,elementwise,True,0,0.0,33554432,raw_structural,raw structural estimate,elementwise-d1-2048-float32,,leave_one_out,10-100 MiB,33554432,,33554432,True
,cpu,34578564,33554432,False,False,elementwise,True,88429909,2.635416656732559,11184811,global_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d1-2048-float32,,leave_one_out,10-100 MiB,33554432,,99614720,True
,cpu,34639912,33554432,False,False,elementwise,True,71303168,2.125,0,global_additive,nearest-rank additive residual quantiles,elementwise-d1-2048-float32,,leave_one_out,10-100 MiB,33554432,,71303168,True
,cpu,33554432,33554432,False,False,elementwise,True,0,0.0,33554432,family_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d1-2048-float32,,leave_one_out,10-100 MiB,33554432,,33554432,True
,cpu,34844212,33554432,False,False,elementwise,True,66060288,1.96875,33554432,size_bucket_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d1-2048-float32,,leave_one_out,10-100 MiB,33554432,,99614720,True
,cpu,134217728,134217728,False,False,elementwise,True,0,0.0,134217728,raw_structural,raw structural estimate,elementwise-d1-4096-float32,,leave_one_out,100-500 MiB,134217728,,134217728,True
,cpu,138314256,134217728,False,False,elementwise,True,353719637,2.63541666418314,44739243,global_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d1-4096-float32,,leave_one_out,100-500 MiB,134217728,,398458880,True
,cpu,135303208,134217728,False,False,elementwise,True,71303168,0.53125,100663296,global_additive,nearest-rank additive residual quantiles,elementwise-d1-4096-float32,,leave_one_out,100-500 MiB,134217728,,171966464,True
,cpu,134217728,134217728,False,False,elementwise,True,0,0.0,134217728,family_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d1-4096-float32,,leave_one_out,100-500 MiB,134217728,,134217728,True
,cpu,134217728,134217728,False,False,elementwise,True,383545799,2.8576388880610466,14913081,size_bucket_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d1-4096-float32,,leave_one_out,100-500 MiB,134217728,,398458880,True
,cpu,33554432,33554432,False,False,elementwise,True,0,0.0,33554432,raw_structural,raw structural estimate,elementwise-d8-2048-float32,,leave_one_out,10-100 MiB,33554432,,33554432,True
,cpu,34578564,33554432,False,False,elementwise,True,88429909,2.635416656732559,11184811,global_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d8-2048-float32,,leave_one_out,10-100 MiB,33554432,,99614720,True
,cpu,34639912,33554432,False,False,elementwise,True,71303168,2.125,0,global_additive,nearest-rank additive residual quantiles,elementwise-d8-2048-float32,,leave_one_out,10-100 MiB,33554432,,71303168,True
,cpu,33554432,33554432,False,False,elementwise,True,0,0.0,33554432,family_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d8-2048-float32,,leave_one_out,10-100 MiB,33554432,,33554432,True
,cpu,34844212,33554432,False,False,elementwise,True,66060288,1.96875,33554432,size_bucket_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d8-2048-float32,,leave_one_out,10-100 MiB,33554432,,99614720,True
,cpu,134217728,134217728,False,False,elementwise,True,0,0.0,134217728,raw_structural,raw structural estimate,elementwise-d8-4096-float32,,leave_one_out,100-500 MiB,134217728,,134217728,True
,cpu,138314256,134217728,False,False,elementwise,True,353719637,2.63541666418314,44739243,global_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d8-4096-float32,,leave_one_out,100-500 MiB,134217728,,398458880,True
,cpu,135303208,134217728,False,False,elementwise,True,71303168,0.53125,100663296,global_additive,nearest-rank additive residual quantiles,elementwise-d8-4096-float32,,leave_one_out,100-500 MiB,134217728,,171966464,True
,cpu,134217728,134217728,False,False,elementwise,True,0,0.0,134217728,family_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d8-4096-float32,,leave_one_out,100-500 MiB,134217728,,134217728,True
,cpu,134217728,134217728,False,False,elementwise,True,383545799,2.8576388880610466,14913081,size_bucket_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d8-4096-float32,,leave_one_out,100-500 MiB,134217728,,398458880,True
,cpu,33554432,33554432,False,False,elementwise,True,0,0.0,33554432,raw_structural,raw structural estimate,elementwise-d16-2048-float32,,leave_one_out,10-100 MiB,33554432,,33554432,True
,cpu,34578564,33554432,False,False,elementwise,True,88429909,2.635416656732559,11184811,global_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d16-2048-float32,,leave_one_out,10-100 MiB,33554432,,99614720,True
,cpu,34639912,33554432,False,False,elementwise,True,71303168,2.125,0,global_additive,nearest-rank additive residual quantiles,elementwise-d16-2048-float32,,leave_one_out,10-100 MiB,33554432,,71303168,True
,cpu,33554432,33554432,False,False,elementwise,True,0,0.0,33554432,family_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d16-2048-float32,,leave_one_out,10-100 MiB,33554432,,33554432,True
,cpu,34844212,33554432,False,False,elementwise,True,66060288,1.96875,33554432,size_bucket_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d16-2048-float32,,leave_one_out,10-100 MiB,33554432,,99614720,True
,cpu,134217728,134217728,False,False,elementwise,True,0,0.0,134217728,raw_structural,raw structural estimate,elementwise-d16-4096-float32,,leave_one_out,100-500 MiB,134217728,,134217728,True
,cpu,138314256,134217728,False,False,elementwise,True,353719637,2.63541666418314,44739243,global_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d16-4096-float32,,leave_one_out,100-500 MiB,134217728,,398458880,True
,cpu,135303208,134217728,False,False,elementwise,True,71303168,0.53125,100663296,global_additive,nearest-rank additive residual quantiles,elementwise-d16-4096-float32,,leave_one_out,100-500 MiB,134217728,,171966464,True
,cpu,134217728,134217728,False,False,elementwise,True,0,0.0,134217728,family_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d16-4096-float32,,leave_one_out,100-500 MiB,134217728,,134217728,True
,cpu,134217728,134217728,False,False,elementwise,True,383545799,2.8576388880610466,14913081,size_bucket_ratio,nearest-rank compiler/static ratio quantiles,elementwise-d16-4096-float32,,leave_one_out,100-500 MiB,134217728,,398458880,True
,cpu,37748736,37748736,False,False,matmul,True,0,0.0,37748736,raw_structural,raw structural estimate,matmul-1024x4096x1024-float32,,leave_one_out,10-100 MiB,37748736,,37748736,True
,cpu,38900884,37748736,False,False,matmul,True,99483648,2.6354166666666665,12582912,global_ratio,nearest-rank compiler/static ratio quantiles,matmul-1024x4096x1024-float32,,leave_one_out,10-100 MiB,37748736,,112066560,True
,cpu,38834216,37748736,False,False,matmul,True,71303168,1.8888888888888888,4194304,global_additive,nearest-rank additive residual quantiles,matmul-1024x4096x1024-float32,,leave_one_out,10-100 MiB,37748736,,75497472,True
